File,Class,IoU
HB-15-1.h5,Background,90.5928373336792
HB-15-1.h5,Pier,91.12955927848816
HB-15-1.h5,Girder,89.64279294013977
HB-15-1.h5,Deck,94.88769769668579
HB-15-1.h5,Parapet,95.33054232597351
HB-15-2.h5,Background,93.41702461242676
HB-15-2.h5,Pier,93.83865594863892
HB-15-2.h5,Girder,90.32738208770752
HB-15-2.h5,Deck,94.71079707145691
HB-15-2.h5,Parapet,94.37204003334045
HB-20-1.h5,Background,86.86501979827881
HB-20-1.h5,Pier,92.1151340007782
HB-20-1.h5,Girder,83.80160331726074
HB-20-1.h5,Deck,91.45135879516602
HB-20-1.h5,Parapet,93.90782117843628
HB-20-2.h5,Background,86.98338270187378
HB-20-2.h5,Pier,93.19812655448914
HB-20-2.h5,Girder,88.15174102783203
HB-20-2.h5,Deck,95.96618413925171
HB-20-2.h5,Parapet,96.31662368774414
HB-8.h5,Background,93.64349246025085
HB-8.h5,Pier,95.21154761314392
HB-8.h5,Girder,89.51835632324219
HB-8.h5,Deck,92.63802766799927
HB-8.h5,Parapet,94.4699227809906
