File,Class,IoU
cb6-1.h5,Background,94.32240128517151
cb6-1.h5,Pier,0.0
cb6-1.h5,Girder,91.40480756759644
cb6-1.h5,Deck,92.53551959991455
cb6-1.h5,Parapet,81.66067600250244
cb6-10.h5,Background,0.043821209692396224
cb6-10.h5,Pier,95.39847373962402
cb6-10.h5,Girder,97.36339449882507
cb6-10.h5,Deck,95.62074542045593
cb6-10.h5,Parapet,93.61860752105713
cb6-11.h5,Background,98.54868650436401
cb6-11.h5,Pier,97.36601114273071
cb6-11.h5,Girder,98.21131229400635
cb6-11.h5,Deck,93.97542476654053
cb6-11.h5,Parapet,96.13122940063477
cb6-12.h5,Background,0.0
cb6-12.h5,Pier,87.76771426200867
cb6-12.h5,Girder,99.4700014591217
cb6-12.h5,Deck,95.32312154769897
cb6-12.h5,Parapet,95.48146724700928
cb6-13.h5,Background,90.85859656333923
cb6-13.h5,Pier,80.91902732849121
cb6-13.h5,Girder,96.26651406288147
cb6-13.h5,Deck,97.48508930206299
cb6-13.h5,Parapet,90.43554067611694
cb6-2.h5,Background,99.21965599060059
cb6-2.h5,Pier,91.29946827888489
cb6-2.h5,Girder,98.8252341747284
cb6-2.h5,Deck,97.02419638633728
cb6-2.h5,Parapet,92.85162687301636
cb6-3.h5,Background,99.15199875831604
cb6-3.h5,Pier,92.77641177177429
cb6-3.h5,Girder,99.52232837677002
cb6-3.h5,Deck,93.97882223129272
cb6-3.h5,Parapet,93.49544048309326
cb6-4.h5,Background,99.01560544967651
cb6-4.h5,Pier,93.56181621551514
cb6-4.h5,Girder,99.1041362285614
cb6-4.h5,Deck,92.04339981079102
cb6-4.h5,Parapet,92.20739006996155
cb6-5.h5,Background,99.4838297367096
cb6-5.h5,Pier,96.22705578804016
cb6-5.h5,Girder,99.14445281028748
cb6-5.h5,Deck,92.38606095314026
cb6-5.h5,Parapet,95.01063823699951
cb6-6.h5,Background,99.78801608085632
cb6-6.h5,Pier,96.92176580429077
cb6-6.h5,Girder,99.50793385505676
