File,mIoU,Accuracy,F1_Score
cb6-1.h5,71.98468446731567,96.17480635643005,96.20595482386179
cb6-10.h5,76.40901207923889,97.81543016433716,98.36974487012317
cb6-11.h5,96.84653282165527,98.97607564926147,98.97662837443953
cb6-12.h5,75.60845613479614,99.33935403823853,99.34031730344037
cb6-13.h5,91.19294881820679,97.37695455551147,97.37069976640504
cb6-2.h5,95.84404230117798,99.12988543510437,99.13089575911408
cb6-3.h5,95.78500986099243,99.30029511451721,99.30032735063088
cb6-4.h5,95.18647193908691,99.1162121295929,99.11605024993851
cb6-5.h5,96.4504063129425,99.37158226966858,99.3713659821556
cb6-6.h5,96.51728868484497,99.67822432518005,99.67806805533297
cb6-7.h5,95.21692395210266,99.2236316204071,99.2223390348662
cb6-8.h5,94.91955637931824,98.82568120956421,98.82560292370299
cb6-9.h5,70.16940712928772,95.42236328125,95.45566369112099
cb9-1.h5,68.83686780929565,96.85254096984863,96.83408935383171
cb9-10.h5,96.33949398994446,98.81982207298279,98.82117145188354
cb9-11.h5,94.31328773498535,98.43994379043579,98.44243960202031
cb9-12.h5,93.72188448905945,98.02539348602295,98.05847259482073
cb9-13.h5,78.46240997314453,98.78027439117432,98.75868983222519
cb9-14.h5,86.9462788105011,94.21679973602295,94.45851258208192
cb9-15.h5,86.3951325416565,95.32666206359863,95.39671837079732
cb9-2.h5,92.9177463054657,98.52978587150574,98.5440642145471
cb9-3.h5,94.22353506088257,98.66943359375,98.67849887244532
cb9-4.h5,96.68347239494324,99.20458793640137,99.20503185247479
cb9-5.h5,94.16454434394836,99.21728372573853,99.21536963139397
cb9-6.h5,93.52795481681824,98.82665872573853,98.82200772280349
cb9-7.h5,93.7115490436554,98.89453053474426,98.8879016137201
cb9-8.h5,94.03311610221863,98.74657988548279,98.73987880519351
cb9-9.h5,68.47476959228516,95.84912061691284,95.85783985474191
