File,Class,IoU
cb6-1.h5,Background,93.10480952262878
cb6-1.h5,Pier,0.0
cb6-1.h5,Girder,84.95551943778992
cb6-1.h5,Deck,90.74532389640808
cb6-1.h5,Parapet,63.94510865211487
cb6-10.h5,Background,0.0
cb6-10.h5,Pier,94.97808814048767
cb6-10.h5,Girder,98.2201337814331
cb6-10.h5,Deck,88.56993913650513
cb6-10.h5,Parapet,94.74657773971558
cb6-11.h5,Background,96.06307744979858
cb6-11.h5,Pier,92.96911954879761
cb6-11.h5,Girder,95.31805515289307
cb6-11.h5,Deck,89.18918967247009
cb6-11.h5,Parapet,97.77448177337646
cb6-12.h5,Background,0.0
cb6-12.h5,Pier,86.91176176071167
cb6-12.h5,Girder,98.19961190223694
cb6-12.h5,Deck,82.03473687171936
cb6-12.h5,Parapet,90.07391929626465
cb6-13.h5,Background,76.1543869972229
cb6-13.h5,Pier,44.17709410190582
cb6-13.h5,Girder,93.45347285270691
cb6-13.h5,Deck,96.82897925376892
cb6-13.h5,Parapet,74.23713803291321
cb6-2.h5,Background,96.14865779876709
cb6-2.h5,Pier,85.70818901062012
cb6-2.h5,Girder,93.68971586227417
cb6-2.h5,Deck,91.2463366985321
cb6-2.h5,Parapet,67.2672688961029
cb6-3.h5,Background,98.62759709358215
cb6-3.h5,Pier,87.9738986492157
cb6-3.h5,Girder,98.56072664260864
cb6-3.h5,Deck,86.53061389923096
cb6-3.h5,Parapet,90.95744490623474
cb6-4.h5,Background,98.15550446510315
cb6-4.h5,Pier,83.59823226928711
cb6-4.h5,Girder,96.51197791099548
cb6-4.h5,Deck,84.46771502494812
cb6-4.h5,Parapet,84.55392718315125
cb6-5.h5,Background,98.21595549583435
cb6-5.h5,Pier,88.98106813430786
cb6-5.h5,Girder,97.53480553627014
cb6-5.h5,Deck,77.01283693313599
cb6-5.h5,Parapet,94.35707926750183
cb6-6.h5,Background,99.0122139453888
cb6-6.h5,Pier,81.5646767616272
cb6-6.h5,Girder,96.93945646286011
cb6-6.h5,Deck,65.82278609275818
cb6-6.h5,Parapet,80.78034520149231
cb6-7.h5,Background,98.2330322265625
cb6-7.h5,Pier,84.50292348861694
cb6-7.h5,Girder,98.57903122901917
cb6-7.h5,Deck,86.86274290084839
cb6-7.h5,Parapet,91.26983880996704
cb6-8.h5,Background,96.54834866523743
cb6-8.h5,Pier,82.09236860275269
cb6-8.h5,Girder,96.05532884597778
cb6-8.h5,Deck,88.12922835350037
cb6-8.h5,Parapet,64.97297286987305
cb6-9.h5,Background,84.27528738975525
cb6-9.h5,Pier,0.0
cb6-9.h5,Girder,81.97649717330933
cb6-9.h5,Deck,87.11097836494446
cb6-9.h5,Parapet,45.38606405258179
cb9-1.h5,Background,91.68236255645752
cb9-1.h5,Pier,0.0
cb9-1.h5,Girder,69.66341733932495
cb9-1.h5,Deck,77.9033899307251
cb9-1.h5,Parapet,40.806591510772705
cb9-10.h5,Background,97.20937013626099
cb9-10.h5,Pier,95.6653892993927
cb9-10.h5,Girder,92.38841533660889
cb9-10.h5,Deck,85.78754663467407
cb9-10.h5,Parapet,77.03927755355835
cb9-11.h5,Background,95.7210898399353
cb9-11.h5,Pier,94.70648765563965
cb9-11.h5,Girder,94.4035530090332
cb9-11.h5,Deck,94.30059790611267
cb9-11.h5,Parapet,70.12791633605957
cb9-12.h5,Background,92.99333095550537
cb9-12.h5,Pier,93.85916590690613
cb9-12.h5,Girder,86.48686408996582
cb9-12.h5,Deck,72.15189933776855
cb9-12.h5,Parapet,31.688642501831055
cb9-13.h5,Background,18.18181872367859
cb9-13.h5,Pier,57.61208534240723
cb9-13.h5,Girder,93.11172366142273
cb9-13.h5,Deck,83.33958983421326
cb9-13.h5,Parapet,68.52094531059265
cb9-14.h5,Background,87.54965662956238
cb9-14.h5,Pier,64.27202820777893
cb9-14.h5,Girder,88.42387795448303
cb9-14.h5,Deck,87.55115270614624
cb9-14.h5,Parapet,58.26752781867981
cb9-15.h5,Background,66.23880863189697
cb9-15.h5,Pier,71.82108759880066
cb9-15.h5,Girder,76.1735200881958
cb9-15.h5,Deck,67.55332350730896
cb9-15.h5,Parapet,31.636598706245422
cb9-2.h5,Background,95.19226551055908
cb9-2.h5,Pier,92.17353463172913
cb9-2.h5,Girder,83.90591740608215
cb9-2.h5,Deck,64.43421840667725
cb9-2.h5,Parapet,38.36048245429993
cb9-3.h5,Background,97.598397731781
cb9-3.h5,Pier,91.74571633338928
cb9-3.h5,Girder,97.78516292572021
cb9-3.h5,Deck,79.0994644165039
cb9-3.h5,Parapet,46.55172526836395
cb9-4.h5,Background,97.17997312545776
cb9-4.h5,Pier,88.44664692878723
cb9-4.h5,Girder,93.66677403450012
cb9-4.h5,Deck,79.03226017951965
cb9-4.h5,Parapet,66.15831255912781
cb9-5.h5,Background,98.58629703521729
cb9-5.h5,Pier,88.97210955619812
cb9-5.h5,Girder,96.59635424613953
cb9-5.h5,Deck,83.4998369216919
cb9-5.h5,Parapet,69.9999988079071
cb9-6.h5,Background,95.85717916488647
cb9-6.h5,Pier,87.30913996696472
cb9-6.h5,Girder,92.42146015167236
cb9-6.h5,Deck,85.63856482505798
cb9-6.h5,Parapet,59.38069224357605
cb9-7.h5,Background,98.8552987575531
cb9-7.h5,Pier,93.61881017684937
cb9-7.h5,Girder,95.19604444503784
cb9-7.h5,Deck,90.24344682693481
cb9-7.h5,Parapet,57.10681080818176
cb9-8.h5,Background,97.6264238357544
cb9-8.h5,Pier,93.52999925613403
cb9-8.h5,Girder,93.40618252754211
cb9-8.h5,Deck,90.83084464073181
cb9-8.h5,Parapet,61.64948344230652
cb9-9.h5,Background,94.93863582611084
cb9-9.h5,Pier,0.0
cb9-9.h5,Girder,90.10872840881348
cb9-9.h5,Deck,87.14773654937744
cb9-9.h5,Parapet,59.33774709701538
