File,mIoU,Accuracy,F1_Score
cb6-1.h5,66.55014753341675,94.27734613418579,94.29079416021892
cb6-10.h5,75.30295252799988,98.5400378704071,98.55233906941709
cb6-11.h5,94.26279067993164,97.31689691543579,97.32767919450292
cb6-12.h5,71.44400477409363,98.3081042766571,98.355617670343
cb6-13.h5,76.9702136516571,93.86230707168579,93.87301270610422
cb6-2.h5,86.81203126907349,96.72607183456421,96.72928834265653
cb6-3.h5,92.53004789352417,98.69629144668579,98.69655022002114
cb6-4.h5,89.4574761390686,97.76366949081421,97.77472090184216
cb6-5.h5,91.22034311294556,98.16650152206421,98.1824741605974
cb6-6.h5,84.82390642166138,98.2592761516571,98.27820142524192
cb6-7.h5,91.88951253890991,98.47656488418579,98.48189556163513
cb6-8.h5,85.55965423583984,97.28027582168579,97.40835524077221
cb6-9.h5,59.74976420402527,90.4711902141571,90.43691334089327
cb9-1.h5,56.011152267456055,90.5590832233429,90.80844527121076
cb9-10.h5,89.61800336837769,97.37548828125,97.45881708599867
cb9-11.h5,89.85193371772766,96.95800542831421,96.99859333035823
cb9-12.h5,75.43598413467407,92.28515625,93.31858947219229
cb9-13.h5,64.1532301902771,92.9003894329071,93.5454940083842
cb9-14.h5,77.21284627914429,91.5966808795929,92.00790974160722
cb9-15.h5,62.684667110443115,80.2197277545929,82.3809491023542
cb9-2.h5,74.81328248977661,92.30712652206421,93.02084093511858
cb9-3.h5,82.55609273910522,96.2939441204071,96.87653655509169
cb9-4.h5,84.89679098129272,96.1376965045929,96.2738875728927
cb9-5.h5,87.530916929245,97.5146472454071,97.56092560979513
cb9-6.h5,84.12140607833862,95.4052746295929,95.52184734415046
cb9-7.h5,87.0040774345398,97.27783203125,97.30779551260716
cb9-8.h5,87.40859031677246,96.8994140625,96.9980508503021
cb9-9.h5,66.30657315254211,95.3076183795929,95.40528040157638
