File,Class,IoU
HB-15-1.h5,Background,88.31169009208679
HB-15-1.h5,Pier,92.30769276618958
HB-15-1.h5,Girder,90.9375011920929
HB-15-1.h5,Deck,95.34883499145508
HB-15-1.h5,Parapet,95.97806334495544
HB-15-2.h5,Background,92.85714030265808
HB-15-2.h5,Pier,95.9876537322998
HB-15-2.h5,Girder,95.29780745506287
HB-15-2.h5,Deck,97.62712121009827
HB-15-2.h5,Parapet,98.03536534309387
HB-20-1.h5,Background,99.99999403953552
HB-20-1.h5,Pier,91.30434989929199
HB-20-1.h5,Girder,89.8809552192688
HB-20-1.h5,Deck,95.80419659614563
HB-20-1.h5,Parapet,97.40740656852722
HB-20-2.h5,Background,86.66666746139526
HB-20-2.h5,Pier,94.38775777816772
HB-20-2.h5,Girder,90.44944047927856
HB-20-2.h5,Deck,93.6170220375061
HB-20-2.h5,Parapet,94.9999988079071
HB-8.h5,Background,94.02984976768494
HB-8.h5,Pier,96.24329209327698
HB-8.h5,Girder,87.63636350631714
HB-8.h5,Deck,90.92702269554138
HB-8.h5,Parapet,95.60810923576355
