File,Class,IoU
HB-15-1.h5,Background,89.47368264198303
HB-15-1.h5,Pier,66.78321957588196
HB-15-1.h5,Girder,59.079283475875854
HB-15-1.h5,Deck,76.115483045578
HB-15-1.h5,Parapet,94.45471167564392
HB-15-2.h5,Background,92.75362491607666
HB-15-2.h5,Pier,71.11801505088806
HB-15-2.h5,Girder,67.00000166893005
HB-15-2.h5,Deck,82.02898502349854
HB-15-2.h5,Parapet,96.47749662399292
HB-20-1.h5,Background,96.7741847038269
HB-20-1.h5,Pier,89.80891704559326
HB-20-1.h5,Girder,70.52023410797119
HB-20-1.h5,Deck,76.37362480163574
HB-20-1.h5,Parapet,95.91078162193298
HB-20-2.h5,Background,88.63636255264282
HB-20-2.h5,Pier,93.29897165298462
HB-20-2.h5,Girder,75.82417726516724
HB-20-2.h5,Deck,80.26905655860901
HB-20-2.h5,Parapet,93.67088675498962
HB-8.h5,Background,94.73684430122375
HB-8.h5,Pier,96.55172228813171
HB-8.h5,Girder,80.4347813129425
HB-8.h5,Deck,84.3137264251709
HB-8.h5,Parapet,87.52860426902771
