File,Class,IoU
cb6-1.h5,Background,81.81817531585693
cb6-1.h5,Pier,0.0
cb6-1.h5,Girder,71.42856121063232
cb6-1.h5,Deck,99.99997615814209
cb6-1.h5,Parapet,0.0
cb6-10.h5,Background,85.71427464485168
cb6-10.h5,Pier,99.99995231628418
cb6-10.h5,Girder,99.99998807907104
cb6-10.h5,Deck,99.99990463256836
cb6-10.h5,Parapet,0.0
cb6-11.h5,Background,99.99998807907104
cb6-11.h5,Pier,99.99997615814209
cb6-11.h5,Girder,99.99998807907104
cb6-11.h5,Deck,99.99990463256836
cb6-11.h5,Parapet,0.0
cb6-12.h5,Background,99.99995231628418
cb6-12.h5,Pier,99.99995231628418
cb6-12.h5,Girder,99.99999403953552
cb6-12.h5,Deck,99.99990463256836
cb6-12.h5,Parapet,0.0
cb6-13.h5,Background,66.66664481163025
cb6-13.h5,Pier,0.0
cb6-13.h5,Girder,99.99999403953552
cb6-13.h5,Deck,99.99995231628418
cb6-13.h5,Parapet,49.99997615814209
cb6-2.h5,Background,99.99998807907104
cb6-2.h5,Pier,0.0
cb6-2.h5,Girder,99.99998807907104
cb6-2.h5,Deck,99.99997615814209
cb6-2.h5,Parapet,99.99990463256836
cb6-3.h5,Background,99.99998807907104
cb6-3.h5,Pier,0.0
cb6-3.h5,Girder,99.99990463256836
cb6-3.h5,Deck,0.0
cb6-3.h5,Parapet,99.99990463256836
cb6-4.h5,Background,99.99999403953552
cb6-4.h5,Pier,99.99990463256836
cb6-4.h5,Girder,99.99998211860657
cb6-4.h5,Deck,0.0
cb6-4.h5,Parapet,99.99995231628418
cb6-5.h5,Background,99.99999403953552
cb6-5.h5,Pier,99.99997019767761
cb6-5.h5,Girder,99.99995231628418
cb6-5.h5,Deck,99.99990463256836
cb6-5.h5,Parapet,99.99990463256836
cb6-6.h5,Background,99.99999403953552
cb6-6.h5,Pier,99.99990463256836
cb6-6.h5,Girder,99.99998211860657
cb6-6.h5,Deck,0.0
cb6-6.h5,Parapet,99.99990463256836
cb6-7.h5,Background,99.99998807907104
cb6-7.h5,Pier,99.99995231628418
cb6-7.h5,Girder,99.99998807907104
cb6-7.h5,Deck,0.0
cb6-7.h5,Parapet,0.0
cb6-8.h5,Background,99.99998807907104
cb6-8.h5,Pier,99.99997019767761
cb6-8.h5,Girder,99.99998211860657
cb6-8.h5,Deck,99.99990463256836
cb6-8.h5,Parapet,0.0
cb6-9.h5,Background,99.99999403953552
cb6-9.h5,Pier,0.0
cb6-9.h5,Girder,99.99998211860657
cb6-9.h5,Deck,99.99997615814209
cb6-9.h5,Parapet,0.0
cb9-1.h5,Background,83.33332538604736
cb9-1.h5,Pier,0.0
cb9-1.h5,Girder,49.99997615814209
cb9-1.h5,Deck,85.71427464485168
cb9-1.h5,Parapet,0.0
cb9-10.h5,Background,85.71427464485168
cb9-10.h5,Pier,99.99998807907104
cb9-10.h5,Girder,59.999990463256836
cb9-10.h5,Deck,99.99995231628418
cb9-10.h5,Parapet,0.0
cb9-11.h5,Background,99.99998807907104
cb9-11.h5,Pier,99.99998807907104
cb9-11.h5,Girder,99.99995231628418
cb9-11.h5,Deck,99.99997019767761
cb9-11.h5,Parapet,0.0
cb9-12.h5,Background,99.99998211860657
cb9-12.h5,Pier,99.99998211860657
cb9-12.h5,Girder,99.99997019767761
cb9-12.h5,Deck,99.99997615814209
cb9-12.h5,Parapet,99.99995231628418
cb9-13.h5,Background,99.99998211860657
cb9-13.h5,Pier,99.99997019767761
cb9-13.h5,Girder,99.99998807907104
cb9-13.h5,Deck,99.99997019767761
cb9-13.h5,Parapet,99.99990463256836
cb9-14.h5,Background,99.99997615814209
cb9-14.h5,Pier,99.99997019767761
cb9-14.h5,Girder,99.99998807907104
cb9-14.h5,Deck,99.99998211860657
cb9-14.h5,Parapet,0.0
cb9-15.h5,Background,99.99998211860657
cb9-15.h5,Pier,49.99997615814209
cb9-15.h5,Girder,88.88887763023376
cb9-15.h5,Deck,99.99997615814209
cb9-15.h5,Parapet,0.0
cb9-2.h5,Background,99.99999403953552
cb9-2.h5,Pier,99.99995231628418
cb9-2.h5,Girder,99.99997615814209
cb9-2.h5,Deck,99.99995231628418
cb9-2.h5,Parapet,0.0
cb9-3.h5,Background,89.99999165534973
cb9-3.h5,Pier,66.66664481163025
cb9-3.h5,Girder,99.99997615814209
cb9-3.h5,Deck,99.99997615814209
cb9-3.h5,Parapet,0.0
cb9-4.h5,Background,90.90908169746399
cb9-4.h5,Pier,66.66664481163025
cb9-4.h5,Girder,99.99998211860657
cb9-4.h5,Deck,99.99990463256836
cb9-4.h5,Parapet,99.99990463256836
cb9-5.h5,Background,99.99999403953552
cb9-5.h5,Pier,99.99995231628418
cb9-5.h5,Girder,99.99998211860657
cb9-5.h5,Deck,0.0
cb9-5.h5,Parapet,0.0
cb9-6.h5,Background,99.99998211860657
cb9-6.h5,Pier,99.99997615814209
cb9-6.h5,Girder,99.99998807907104
cb9-6.h5,Deck,49.99997615814209
cb9-6.h5,Parapet,66.66664481163025
cb9-7.h5,Background,99.99998807907104
cb9-7.h5,Pier,99.99998211860657
cb9-7.h5,Girder,99.99995231628418
cb9-7.h5,Deck,99.99997019767761
cb9-7.h5,Parapet,0.0
cb9-8.h5,Background,99.99998807907104
cb9-8.h5,Pier,99.99998211860657
cb9-8.h5,Girder,66.66664481163025
cb9-8.h5,Deck,66.66664481163025
cb9-8.h5,Parapet,0.0
cb9-9.h5,Background,88.88887763023376
cb9-9.h5,Pier,99.99990463256836
cb9-9.h5,Girder,99.99997615814209
cb9-9.h5,Deck,99.99998211860657
cb9-9.h5,Parapet,49.99997615814209
