File,mIoU,Accuracy,F1_Score
cb6-1.h5,50.64934492111206,89.99999761581421,90.8999374952011
cb6-10.h5,77.14282274246216,94.9999988079071,92.80763018768862
cb6-11.h5,79.99997138977051,100.0,99.99993807909462
cb6-12.h5,79.99995946884155,100.0,99.99993211862837
cb6-13.h5,63.333314657211304,94.9999988079071,95.82601519708051
cb6-2.h5,79.99997138977051,100.0,99.9999261581614
cb6-3.h5,59.99996066093445,100.0,99.9999261581614
cb6-4.h5,79.99996542930603,100.0,99.99993211862837
cb6-5.h5,99.99994039535522,100.0,99.9999261581614
cb6-6.h5,79.99995946884155,100.0,99.99993211862837
cb6-7.h5,59.99998450279236,100.0,99.99993211862837
cb6-8.h5,79.99996542930603,100.0,99.99993211862837
cb6-9.h5,59.999990463256836,100.0,99.99993807909462
cb9-1.h5,43.80951523780823,85.00000238418579,85.82517478953784
cb9-10.h5,69.14284229278564,89.99999761581421,92.76916824530228
cb9-11.h5,79.99998331069946,100.0,99.99993211862837
cb9-12.h5,99.99997019767761,100.0,99.99993211862837
cb9-13.h5,99.99996423721313,100.0,99.99993211862837
cb9-14.h5,79.99998331069946,100.0,99.99993211862837
cb9-15.h5,67.7777647972107,94.9999988079071,95.2768963540695
cb9-2.h5,79.99997735023499,100.0,99.99993211862837
cb9-3.h5,71.33331894874573,94.9999988079071,95.24927424626242
cb9-4.h5,91.51510000228882,94.9999988079071,95.22665230102567
cb9-5.h5,59.99998450279236,100.0,99.99993807909462
cb9-6.h5,83.33331346511841,94.9999988079071,96.23369736657871
cb9-7.h5,79.99998331069946,100.0,99.99993211862837
cb9-8.h5,66.6666567325592,94.9999988079071,95.82601519708051
cb9-9.h5,87.77774572372437,94.9999988079071,95.27688980271823
